client_id,client_name,email,phone,address,property_address,connection_id,status
C162,Inês Almeida,mariopinheiro@example.org,913 009 792,"R. Ema Baptista, 195, 5281-273 Vila Nova de Santo André","Alameda de Guerreiro, 61, 9885-217 Pinhel",CN1000,Disconnected
C594,Iara Fernandes,pteixeira@example.org,(351) 928945590,"Av Amaral, 59, 4894-204 Póvoa de Santa Iria","Avenida Guerreiro, 43, 9900-094 Rio Tinto",CN1001,Suspended
C527,Ivan Faria,baptistamateus@example.net,230748207,"Avenida de Baptista, 49, 0655-782 Chaves","R. dos Estorninhos, 95, 5854-551 Elvas",CN1002,Active
C575,Guilherme Alves,hribeiro@example.org,+351920952294,"Rua Tavares, 75, 0399-529 Alcácer do Sal","Rua Tavares, 75, 0399-529 Alcácer do Sal",CN1003,Active
C108,Carlota Carneiro,frocha@example.net,+351912895392,"R. de Castro, 709, 2959-391 Estremoz","R. de Castro, 709, 2959-391 Estremoz",CN1004,Suspended
C414,Kyara da Reis,simaorodrigues@example.org,935856728,"Alameda da Universidade, 415, 3324-913 Tondela","Alameda Pinheiro, S/N, 9220-269 Chaves",CN1005,Suspended
C184,Diego Freitas,lealvitor@example.net,229962914,"Alameda de Baptista, 63, 4384-215 Guimarães","Av Nelson Mandela, 122, 1386-047 Seia",CN1006,Disconnected
C500,Jéssica Gomes,artur57@example.org,(351) 923 627 924,"Av Lucas Matos, 77, 7537-260 Fafe","Praça da Cruz, 64, 7413-401 Évora",CN1007,Suspended
C589,Bruna Macedo,igorlima@example.net,(351) 916488208,"Rua do Bicalho, S/N, 2467-287 Santa Cruz","Praça Leonardo Sousa, 4, 4402-825 Fiães",CN1008,Disconnected
C489,João Freitas-Miranda,rafael89@example.com,(351) 278769899,"Avenida de Sá, 95, 4444-983 Paredes","Avenida de Sá, 95, 4444-983 Paredes",CN1009,Active
C016,Laura do Melo,sofiamonteiro@example.com,(351) 923487347,"Travessa Sandro Guerreiro, 31, 3623-166 Vila Franca de Xira","Travessa Sandro Guerreiro, 31, 3623-166 Vila Franca de Xira",CN1010,Disconnected
C267,Daniel Antunes,tantunes@example.net,931 108 046,"Rua da Aldeia, 19, 6769-915 Serpa","Rua da Aldeia, 19, 6769-915 Serpa",CN1011,Suspended
C437,Paulo Rodrigues,pereiraeduardo@example.org,(351) 915996605,"Alameda Ribeiro, 460, 0514-607 Portalegre","Largo Leite, 79, 2562-221 Penafiel",CN1012,Active
C203,Valentina Soares,hhenriques@example.net,225309251,"Alameda Ivan Tavares, 38, 3902-196 Alcácer do Sal","Travessa Mia Amorim, 13, 1776-135 Abrantes",CN1013,Suspended
C268,Irina do Correia,barrosandre@example.net,(351) 293 928 456,"Rua Gonçalo Andrade, S/N, 4968-549 Fafe","Largo do Pedregulho, 786, 2784-178 Tondela",CN1014,Suspended
C215,Benedita Henriques,piresmadalena@example.org,963430187,"Praça Rui Pires, 18, 6265-650 Pombal","Avenida Pereira, S/N, 4992-164 Angra do Heroísmo",CN1015,Disconnected
C273,Luana de Henriques,fabiana77@example.com,(351) 939690333,"Rua do Sapal, 36, 4812-147 Lixa","Largo Matos, 9, 4361-168 Entroncamento",CN1016,Active
C042,Fabiana Cunha,leitebeatriz@example.org,(351) 969784036,"Travessa Leonardo Brito, 64, 0762-268 Torres Novas","Travessa Rafaela Figueiredo, 93, 6535-232 Santana",CN1017,Disconnected
C087,Ismael Pacheco,omiranda@example.com,(351) 922 660 937,"Rua Cruz, 21, 5537-147 Queluz","Av Sá, 66, 9170-851 Lourosa",CN1018,Active
C305,Bruna Borges,fabianavaz@example.com,921859484,"Largo Tatiana Macedo, 6, 7924-082 Estremoz","Travessa de Luís António Verney, S/N, 6329-573 Torres Vedras",CN1019,Disconnected
C404,Bruno Nogueira,brancorenata@example.org,926457938,"Largo Loureiro, S/N, 9168-154 Ribeira Grande","Largo Loureiro, S/N, 9168-154 Ribeira Grande",CN1020,Active
C052,Ana Rocha,qloureiro@example.net,(351) 925 153 195,"Largo de Rodrigues, 8, 2217-043 Guimarães","Avenida Laura Matias, 1, 9951-670 Peniche",CN1021,Suspended
C087,Ismael Pacheco,omiranda@example.com,(351) 922 660 937,"Rua Cruz, 21, 5537-147 Queluz","Rua Cruz, 21, 5537-147 Queluz",CN1022,Active
C280,Sérgio Paiva,machadonicole@example.org,(351) 912484137,"Avenida de Barros, 75, 2438-070 Silves","Avenida de Barros, 75, 2438-070 Silves",CN1023,Disconnected
C099,Noah Soares,estevessara@example.net,(351) 910 030 756,"Alameda Domingues, 73, 4195-180 Lisboa","Av Monteiro, 8, 9994-457 Oliveira do Hospital",CN1024,Active
C102,Frederico Gaspar,rodrigo65@example.com,964 313 291,"Praça Carolina Guerreiro, 91, 3747-411 Oliveira de Azeméis","Praça do Colégio, 37, 6041-348 Angra do Heroísmo",CN1025,Disconnected
C152,Nádia Guerreiro,rpereira@example.com,(351) 928 463 920,"Largo Machado, 227, 5003-691 Portimão","Travessa Mota, 77, 8455-939 Paços de Ferreira",CN1026,Active
C253,Ângelo Nogueira,xavier28@example.net,(351) 963188485,"Travessa Faria, 96, 0548-510 Seia","Travessa Faria, 96, 0548-510 Seia",CN1027,Suspended
C160,Alice Cardoso,nogueiraantonio@example.org,(351) 924427031,"Rua do Carrasco, 84, 7051-204 Bragança","Rua do Carrasco, 84, 7051-204 Bragança",CN1028,Active
