connection_id,client_id,client_name,property_address,connection_type,install_date,meter_serial,status,technician_id,technician_name
CN1000,C162,Inês Almeida,"Alameda de Guerreiro, 61, 9885-217 Pinhel",Single-phase,6/4/2024,MTR1000,Disconnected,T116,Lúcia do Pinto
CN1001,C594,Iara Fernandes,"Avenida Guerreiro, 43, 9900-094 Rio Tinto",Single-phase,5/19/2024,MTR1001,Suspended,T020,Denis Pires
CN1002,C527,Ivan Faria,"R. dos Estorninhos, 95, 5854-551 Elvas",Three-phase,10/7/2023,MTR1002,Active,T067,Henrique Guerreiro
CN1003,C575,Guilherme Alves,"Rua Tavares, 75, 0399-529 Alcácer do Sal",Three-phase,10/25/2022,MTR1003,Active,T027,Mia Cunha-Maia
CN1004,C108,Carlota Carneiro,"R. de Castro, 709, 2959-391 Estremoz",Single-phase,1/17/2025,MTR1004,Suspended,T058,Henrique Santos-Amorim
CN1005,C414,Kyara da Reis,"Alameda Pinheiro, S/N, 9220-269 Chaves",Three-phase,6/4/2022,MTR1005,Suspended,T066,Joel do Pinho
CN1006,C184,Diego Freitas,"Av Nelson Mandela, 122, 1386-047 Seia",Three-phase,9/24/2020,MTR1006,Disconnected,T008,Mauro Faria
CN1007,C500,Jéssica Gomes,"Praça da Cruz, 64, 7413-401 Évora",Single-phase,9/20/2020,MTR1007,Suspended,T040,Soraia Matos
CN1008,C589,Bruna Macedo,"Praça Leonardo Sousa, 4, 4402-825 Fiães",Single-phase,11/27/2019,MTR1008,Disconnected,T105,David Neto
CN1009,C489,João Freitas-Miranda,"Avenida de Sá, 95, 4444-983 Paredes",Single-phase,9/9/2023,MTR1009,Active,T075,Luciana Sá
CN1010,C016,Laura do Melo,"Travessa Sandro Guerreiro, 31, 3623-166 Vila Franca de Xira",Single-phase,11/13/2021,MTR1010,Disconnected,T045,Inês Paiva
CN1011,C267,Daniel Antunes,"Rua da Aldeia, 19, 6769-915 Serpa",Single-phase,11/17/2023,MTR1011,Suspended,T120,Raquel Coelho
CN1012,C437,Paulo Rodrigues,"Largo Leite, 79, 2562-221 Penafiel",Three-phase,8/10/2022,MTR1012,Active,T037,Enzo Sá
CN1013,C203,Valentina Soares,"Travessa Mia Amorim, 13, 1776-135 Abrantes",Three-phase,11/16/2024,MTR1013,Suspended,T018,Henrique Azevedo
CN1014,C268,Irina do Correia,"Largo do Pedregulho, 786, 2784-178 Tondela",Three-phase,5/10/2025,MTR1014,Suspended,T058,Henrique Santos-Amorim
CN1015,C215,Benedita Henriques,"Avenida Pereira, S/N, 4992-164 Angra do Heroísmo",Single-phase,1/20/2020,MTR1015,Disconnected,T088,Daniela Esteves
CN1016,C273,Luana de Henriques,"Largo Matos, 9, 4361-168 Entroncamento",Single-phase,9/9/2021,MTR1016,Active,T045,Inês Paiva
