service_order_id,connection_id,client_id,client_name,technician_id,technician_name,service_type,start_date,end_date,notes
SO0001,CN1948,C341,Rafael Macedo,T083,Noa Simões,Inspection,2025-02-20,2025-03-01,Underground cable inspection completed
SO0002,CN1199,C475,Andreia Rodrigues,T095,Nuno Melo-Garcia,Disconnection,2025-06-17,2025-07-20,Disconnection request fulfilled
SO0003,CN1630,C002,Sandro Fonseca,T101,Andreia Cruz,Disconnection,2025-08-05,2025-08-25,Disconnection requested by client
SO0004,CN1222,C531,Maria de Figueiredo,T069,Eva Fonseca,Maintenance,2025-04-25,2025-08-14,Protection equipment updated
SO0005,CN1670,C309,Lisandro Moreira,T058,Henrique Santos-Amorim,Disconnection,2024-10-29,2025-07-19,Disconnection requested by client
SO0006,CN1185,C282,Santiago Fonseca,T041,Afonso Machado,Repair,2025-07-01,2025-09-28,Intermittent fault fixed
SO0007,CN2189,C319,Fábio Azevedo,T109,Joel Antunes,Installation,2025-06-07,2025-07-22,"Partial installation completed, pending approval"
SO0008,CN1305,C270,Afonso do Domingues,T070,Camila Pereira,Disconnection,2025-01-17,2025-07-13,Equipment powered down for maintenance
SO0009,CN1798,C452,Wilson Cruz,T036,Daniel Miranda,Maintenance,2025-02-25,2025-03-03,System-wide review performed
SO0010,CN1915,C046,Pilar-Diana Henriques,T013,Jéssica-Letícia Assunção,Repair,2025-04-05,2025-09-19,Intermittent fault fixed
SO0011,CN1648,C494,Afonso Faria,T029,Ema Vaz,Inspection,2025-02-06,2025-09-22,Underground cable inspection completed
SO0012,CN1623,C190,Lourenço Castro,T008,Mauro Faria,Disconnection,2024-11-07,2025-10-16,Equipment powered down for maintenance
SO0013,CN1182,C380,Tatiana do Cunha,T055,Leandro Sousa,Maintenance,2025-05-06,2025-07-10,Maintenance visit completed
SO0014,CN2045,C026,Fabiana Moura,T079,Valentim Lima,Disconnection,2025-05-09,2025-06-12,Disconnection request fulfilled
SO0015,CN1602,C209,Bruno do Almeida,T068,Denis Borges,Installation,2025-05-09,2025-10-15,Temporary connection installed for testing
SO0016,CN2124,C415,Melissa Rocha,T081,Kevin Silva,Installation,2025-05-26,2025-06-23,Installation completed successfully
SO0017,CN2146,C144,Gaspar Coelho,T081,Kevin Silva,Inspection,2025-06-05,2025-07-10,Inspection revealed faulty wiring
SO0018,CN1577,C239,Igor Teixeira,T043,Alexandre Vicente,Installation,2025-06-03,2025-07-17,"Partial installation completed, pending approval"
SO0019,CN1884,C446,Carolina da Amaral,T020,Denis Pires,Maintenance,2025-07-24,2025-07-28,Protection equipment updated
SO0020,CN1651,C423,Alice Paiva,T097,Marco Andrade,Disconnection,2025-09-27,2025-10-22,Temporary connection removed
SO0021,CN1781,C119,Salvador Mota,T082,Joaquim Guerreiro,Disconnection,2024-11-06,2025-01-23,Disconnection request fulfilled
